X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-83.0266402,42.2989061,321006337,1154419,Integrated Community Health Services Centre,"Bone Mineral Dxa, Fluoroscopy, Radiography, General Ultrasound, Vascular Ultrasound, Mammography",Clear Medical Imaging,,2324317 Ontario Ltd.,,1568 Ouellette Avenue,,,Windsor,N8X1K7,2025/04/09 21:37:42+00,2025/04/09 14:30:30+00,2025/04/09 17:54:59+00,2258241
-77.5690588,44.1044723,321013957,6027596,Pharmacy,Retail Pharmacy,Rexall #1008,,,,109 Dundas Street East,,,Trenton,K8V1L1,2025/04/09 21:33:19+00,2025/04/09 14:44:40+00,2025/04/09 17:54:59+00,2258257
-79.792679,43.3562927,321013142,468871,Pharmacy,Retail Pharmacy,Innomar Specialty Pharmacy Inc,,,,4-3250 Harvester Road,,,Burlington,L7N3W9,2025/04/09 21:36:22+00,2025/04/09 14:43:11+00,2025/04/09 17:54:59+00,2258273
-79.9371952,43.7996309,321010297,999054,Seniors Active Living Centre,,Caledon Seniors Centre Satellite Location Inglewood Community Centre,Caledon Seniors Centre Satellite Location Inglewood Community Centre,,,158/25 Mclaughlin Road,,,Inglewood,L7C1H4,2025/04/09 21:31:46+00,2025/04/09 14:37:52+00,2025/04/09 17:54:59+00,2258289
-82.2187622,42.4339305,321016232,89790,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,,,,881 St Clair Street,,,Chatham,N7M5T7,2025/04/09 21:35:00+00,2025/04/09 14:48:55+00,2025/04/09 17:54:59+00,2258305
-80.0972035,43.9194852,321015855,8539478,Pharmacy,Retail Pharmacy,Medione Chafford Pharmacy,,,,195 Broadway,,,Orangeville,L9W1K2,2025/04/09 21:37:24+00,2025/04/09 14:48:13+00,2025/04/09 17:54:59+00,2258321
-80.968002,44.5630933,321015538,8167011,Pharmacy,Retail Pharmacy,Drugstore Pharmacy 4277,,,,1020 10th Street West,,,Owen Sound,N4K5S1,2025/04/09 21:36:28+00,2025/04/09 14:47:37+00,2025/04/09 17:54:59+00,2258337
-84.3117153,46.551512,321009113,4572,Community Support Service,,F.J. Davey Home,,,,733 Third Line East,,,Sault Ste. Marie,P6A7C1,2025/04/09 21:35:55+00,2025/04/09 14:35:43+00,2025/04/09 17:54:59+00,2258353
-79.7893538,47.0651123,321012216,27660,Pharmacy,Retail Pharmacy,Temagami Pharmasave,,,,6729 11 Highway North Gd,,,Temagami,P0H2H0,2025/04/09 21:37:00+00,2025/04/09 14:41:26+00,2025/04/09 17:54:59+00,2258369
-79.6941596,44.3837566,321007828,3310,Mental Health and Addiction Organization,Mental Health Services,Huronia Transition Homes,,,,80 Bradford Street,Suite: 143,Practice Location,Barrie,L4N6S7,2025/04/09 21:34:04+00,2025/04/09 14:33:24+00,2025/04/09 17:54:59+00,2258385
-79.447839,43.868314,321007949,3520,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,,,,250 Harding Boulevard West,,Practice Address,Richmond Hill,L4C9M7,2025/04/09 21:30:24+00,2025/04/09 14:33:37+00,2025/04/09 17:54:59+00,2258401
-77.3847972,44.1902612,321009428,5651,Licensed Lab and Specimen Collection Centre,Community (Private) Lab Location,Lifelabs,,,,51 Adam Street,,"Billing, Administration, & Practice Address",Belleville,K8N5K3,2025/04/09 21:35:53+00,2025/04/09 14:36:17+00,2025/04/09 17:54:59+00,2258417
-80.4935189,43.4517153,321016989,9630036,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1087,,,,250 King Street West,,,Kitchener,N2G1B6,2025/04/09 21:38:11+00,2025/04/09 14:50:21+00,2025/04/09 17:54:59+00,2258433
-79.7851393,43.3556156,321015168,7657733,Pharmacy,Retail Pharmacy,Food Basics Pharmacy #581,,,,3365 Fairview Street,,,Burlington,L7N3N9,2025/04/09 21:36:57+00,2025/04/09 14:46:56+00,2025/04/09 17:54:59+00,2258449
