name,long,lat,general_time,high_time,low_time,admitted_time
Toronto General Hospital,-75.0989,44.8255,3.33,4.42,2.9,24.44
Ottawa Civic Hospital,-79.0541,42.4423,2.72,4.1,2.48,20.12
Mississauga Trillium Health,-81.467,44.404,0.45,6.05,3.5,18.59
Hamilton Health Sciences,-83.3044,43.6272,1.99,3.86,2.59,15.13
Kingston General,-79.9998,45.3473,2.62,4.6,5.26,22.46
London Health Sciences,-81.7944,43.2057,1.94,4.13,4.38,21.36
Windsor Regional,-81.5694,45.8943,0.1,4.54,2.5,18
Niagara Health System,-78.1189,44.463,1.09,4.42,2.75,16.29
Markham Stouffville,-75.8741,44.0759,1.76,4.29,4.68,25.1
St. Michael's Hospital (Toronto),-76.3262,45.5441,2.82,4.69,5.16,21.05
Brampton Civic,-83.4727,45.9189,2.15,4.09,2.62,22.61
Cambridge Memorial,-75.567,45.4544,1.1,4.29,3.44,24.31
Grand River Hospital (Kitchener),-83.7431,43.6675,3.77,3.84,4.01,14.73
St. Catharines General,-80.4491,42.8468,2.01,5.09,2.73,12.87
Guelph General,-75.5723,45.7171,1.05,5,2.94,16.59
Southlake Regional (Newmarket),-79.45,44.06,2.03,5.23,2.5,15.74
Lakeridge Health (Oshawa),-75.0253,43.6934,1.07,5.56,3.82,19.89
The Ottawa Hospital - General Campus,-80.9317,43.3429,2.55,6.07,4.19,17.56
Sault Area Hospital,-81.6579,42.6687,0.81,4.41,2.16,21.67
Thunder Bay Regional,-77.062,45.2894,1.12,4.64,3.71,21.73
North Bay Regional,-79.9472,45.1438,0.44,5.59,4.88,13.91
Timmins and District Hospital,-75.3934,42.4921,1.19,4.85,3.46,22.37
Scarborough Health Network,-82.6865,45.7329,4.21,5.17,3.49,14.5
Mount Sinai Hospital (Toronto),-79.39,43.66,1.7,4.7,4.75,16.74
Unity Health Toronto,-83.9984,44.4025,1.09,4.75,4.78,15
William Osler Health System (Etobicoke),-77.306,42.3458,0.82,5.25,3.87,15.55
Sunnybrook Health Sciences,-80.7961,42.7592,2.59,5.02,4.77,25.43
Michael Garron Hospital,-82.0298,44.1165,2.45,4.16,3.03,13.59
Royal Victoria Regional (Barrie),-79.6465,45.9626,3.19,5.18,3.41,23.32
Humber River Hospital (Toronto),-79.1764,42.6366,2.49,5.67,2.18,13.62
